"La Walck","48.849998 ","48° 51’ 02” N ","7.600000 ","007° 36’ 42” E "
"La Wantzenau","48.650002 ","48° 39’ 32” N ","7.816667 ","007° 49’ 45” E "
"Lalaye","48.316666 ","48° 19’ 52” N ","7.250000 ","007° 15’ 55” E "
"Lampertheim","48.650002 ","48° 39’ 07” N ","7.683333 ","007° 41’ 55” E "
"Landersheim","48.683334 ","48° 41’ 25” N ","7.483333 ","007° 29’ 38” E "
"Lapoutroie","48.150002 ","48° 09’ 12” N ","7.166667 ","007° 10’ 13” E "
"Lauterbourg","48.966667 ","48° 58’ 34” N ","8.166667 ","008° 10’ 28” E "
"Lichtenberg","48.916668 ","48° 55’ 18” N ","7.466667 ","007° 28’ 53” E "
"Limersheim","48.450001 ","48° 27’ 24” N ","7.633333 ","007° 38’ 42” E "
"Lingolsheim","48.549999 ","48° 33’ 29” N ","7.683333 ","007° 41’ 01” E "
"Lipsheim","48.483334 ","48° 29’ 22” N ","7.650000 ","007° 39’ 37” E "
"Lièpvre","48.266666 ","48° 16’ 23” N ","7.266667 ","007° 16’ 59” E "
"Lutterbach","47.750000 ","47° 45’ 37” N ","7.266667 ","007° 16’ 52” E "
"Lutzelhouse","48.516666 ","48° 31’ 15” N ","7.283333 ","007° 17’ 21” E "
"Malmerspach","47.849998 ","47° 51’ 53” N ","7.033333 ","007° 02’ 07” E "
"Marckolsheim","48.150002 ","48° 09’ 53” N ","7.533333 ","007° 32’ 41” E "
"Marlenheim","48.616669 ","48° 37’ 25” N ","7.483333 ","007° 29’ 38” E "
"Marmoutier","48.683334 ","48° 41’ 28” N ","7.366667 ","007° 22’ 55” E "
"Merkwiller–Pechelbronn","48.933334 ","48° 56’ 23” N ","7.816667 ","007° 49’ 35” E "
"Mertzwiller","48.849998 ","48° 51’ 49” N ","7.666667 ","007° 40’ 50” E "
"Merxheim","47.900002 ","47° 54’ 41” N ","7.283333 ","007° 17’ 36” E "
"Metzeral","48.000000 ","48° 00’ 47” N ","7.066667 ","007° 04’ 15” E "
"Mietesheim","48.866669 ","48° 52’ 44” N ","7.633333 ","007° 38’ 32” E "
"Mittelbergheim","48.383331 ","48° 23’ 48” N ","7.433333 ","007° 26’ 33” E "
"Mittelhausen","48.700001 ","48° 42’ 30” N ","7.616667 ","007° 37’ 50” E "
"Mittelwihr","48.150002 ","48° 09’ 05” N ","7.316667 ","007° 19’ 13” E "
"Mollkirch","48.500000 ","48° 30’ 26” N ","7.383333 ","007° 23’ 10” E "
"Molsheim","48.533333 ","48° 32’ 37” N ","7.483333 ","007° 29’ 35” E "
"Mommenheim","48.750000 ","48° 45’ 28” N ","7.633333 ","007° 38’ 30” E "
"Monswiller","48.750000 ","48° 45’ 19” N ","7.366667 ","007° 22’ 50” E "
"Morschwiller–le–Bas","47.733334 ","47° 44’ 12” N ","7.266667 ","007° 16’ 16” E "
"Muhlbach–sur–Munster","48.016666 ","48° 01’ 32” N ","7.083333 ","007° 05’ 03” E "
"Mulhouse","47.750000 ","47° 45’ 02” N ","7.333333 ","007° 20’ 09” E "
"Munchhausen","48.916668 ","48° 55’ 18” N ","8.133333 ","008° 08’ 50” E "
"Mundolsheim","48.633331 ","48° 38’ 40” N ","7.700000 ","007° 42’ 54” E "
"Munster","48.033333 ","48° 02’ 31” N ","7.133333 ","007° 08’ 05” E "
"Muntzenheim","48.099998 ","48° 06’ 11” N ","7.466667 ","007° 28’ 28” E "
"Mutzig","48.533333 ","48° 32’ 22” N ","7.450000 ","007° 27’ 18” E "
"Neuf–Brisach","48.016666 ","48° 01’ 08” N ","7.516667 ","007° 31’ 45” E "
"Neuwiller–lès–Saverne","48.816666 ","48° 49’ 28” N ","7.400000 ","007° 24’ 19” E "
"Niederbronn–les–Bains","48.950001 ","48° 57’ 02” N ","7.633333 ","007° 38’ 41” E "
"Niederbruck","47.783333 ","47° 47’ 07” N ","6.966667 ","006° 58’ 06” E "
"Niederhaslach","48.533333 ","48° 32’ 16” N ","7.333333 ","007° 20’ 51” E "
"Niederhergheim","47.983334 ","47° 59’ 08” N ","7.400000 ","007° 24’ 00” E "
"Niedermodern","48.833332 ","48° 50’ 46” N ","7.616667 ","007° 37’ 37” E "
"Niedermorschwihr","48.099998 ","48° 06’ 01” N ","7.266667 ","007° 16’ 30” E "
"Nordheim","48.633331 ","48° 38’ 11” N ","7.500000 ","007° 30’ 36” E "
"Nordhouse","48.433334 ","48° 26’ 57” N ","7.666667 ","007° 40’ 25” E "
"Nothalten","48.349998 ","48° 21’ 10” N ","7.416667 ","007° 25’ 13” E "
"Obenheim","48.349998 ","48° 21’ 39” N ","7.683333 ","007° 41’ 24” E "
"Obermorschwihr","48.016666 ","48° 01’ 07” N ","7.283333 ","007° 17’ 46” E "
"Obernai","48.450001 ","48° 27’ 47” N ","7.466667 ","007° 28’ 58” E "
"Oermingen","48.983334 ","48° 59’ 59” N ","7.116667 ","007° 07’ 46” E "
"Orbey","48.116669 ","48° 07’ 38” N ","7.150000 ","007° 09’ 42” E "
"Orschwihr","47.933334 ","47° 56’ 08” N ","7.216667 ","007° 13’ 59” E "
"Orschwiller","48.233334 ","48° 14’ 32” N ","7.366667 ","007° 22’ 59” E "
"Osenbach","47.983334 ","47° 59’ 10” N ","7.216667 ","007° 13’ 03” E "
"Ostheim","48.150002 ","48° 09’ 39” N ","7.366667 ","007° 22’ 17” E "
"Ostwald","48.533333 ","48° 32’ 33” N ","7.700000 ","007° 42’ 37” E "
"Otterswiller","48.716667 ","48° 43’ 33” N ","7.366667 ","007° 22’ 45” E "
"Ottmarsheim","47.783333 ","47° 47’ 12” N ","7.500000 ","007° 30’ 23” E "
"Ottrott","48.450001 ","48° 27’ 31” N ","7.416667 ","007° 25’ 35” E "
"Petersbach","48.866669 ","48° 52’ 18” N ","7.266667 ","007° 16’ 05” E "
"Pfaffenheim","47.983334 ","47° 59’ 07” N ","7.283333 ","007° 17’ 24” E "
"Pfaffenhoffen","48.833332 ","48° 50’ 43” N ","7.600000 ","007° 36’ 42” E "
"Pfastatt","47.766666 ","47° 46’ 11” N ","7.300000 ","007° 18’ 09” E "
"Plobsheim","48.466667 ","48° 28’ 14” N ","7.716667 ","007° 43’ 36” E "
"Puberg","48.900002 ","48° 54’ 44” N ","7.300000 ","007° 18’ 57” E "
"Pulversheim","47.833332 ","47° 50’ 16” N ","7.300000 ","007° 18’ 23” E "
"Raedersheim","47.883331 ","47° 53’ 21” N ","7.266667 ","007° 16’ 56” E "
"Reichsfeld","48.366669 ","48° 22’ 04” N ","7.383333 ","007° 23’ 02” E "
"Reichstett","48.633331 ","48° 38’ 47” N ","7.750000 ","007° 45’ 11” E "
"Retschwiller","48.950001 ","48° 57’ 03” N ","7.866667 ","007° 52’ 48” E "
"Ribeauvillé","48.183334 ","48° 11’ 41” N ","7.316667 ","007° 19’ 09” E "
"Richwiller","47.766666 ","47° 46’ 47” N ","7.266667 ","007° 16’ 53” E "
"Riedisheim","47.733334 ","47° 44’ 56” N ","7.366667 ","007° 22’ 03” E "
"Riquewihr","48.150002 ","48° 09’ 56” N ","7.283333 ","007° 17’ 59” E "
"Rixheim","47.733334 ","47° 44’ 38” N ","7.383333 ","007° 23’ 48” E "
"Rodern","48.216667 ","48° 13’ 32” N ","7.350000 ","007° 21’ 16” E "
"Romanswiller","48.633331 ","48° 38’ 46” N ","7.400000 ","007° 24’ 27” E "
"Rombach–le–Franc","48.283333 ","48° 17’ 04” N ","7.250000 ","007° 15’ 40” E "
"Roppentzwiller","47.533333 ","47° 32’ 28” N ","7.316667 ","007° 19’ 57” E "
"Rosenwiller","48.500000 ","48° 30’ 23” N ","7.433333 ","007° 26’ 25” E "
"Rosheim","48.483334 ","48° 29’ 51” N ","7.466667 ","007° 28’ 13” E "
"Rouffach","47.950001 ","47° 57’ 30” N ","7.283333 ","007° 17’ 54” E "
"Rountzenheim","48.816666 ","48° 49’ 11” N ","8.000000 ","008° 00’ 25” E "
"Rumersheim–le–Haut","47.849998 ","47° 51’ 10” N ","7.516667 ","007° 31’ 22” E "
"Réguisheim","47.883331 ","47° 53’ 44” N ","7.350000 ","007° 21’ 19” E "
"Rœschwoog","48.816666 ","48° 49’ 40” N ","8.033333 ","008° 02’ 08” E "
"Saasenheim","48.233334 ","48° 14’ 15” N ","7.616667 ","007° 37’ 11” E "
"Sainte–Croix–en–Plaine","48.000000 ","48° 00’ 33” N ","7.383333 ","007° 23’ 08” E "
"Sainte–Marie–aux–Mines","48.233334 ","48° 14’ 51” N ","7.183333 ","007° 11’ 05” E "
"Saint–Amarin","47.866669 ","47° 52’ 23” N ","7.016667 ","007° 01’ 54” E "
"Saint–Blaise–la–Roche","48.400002 ","48° 24’ 17” N ","7.150000 ","007° 09’ 45” E "
"Saint–Hippolyte","48.216667 ","48° 13’ 57” N ","7.366667 ","007° 22’ 21” E "
"Saint–Louis","47.583332 ","47° 35’ 10” N ","7.550000 ","007° 33’ 56” E "
"Saint–Martin","48.349998 ","48° 21’ 02” N ","7.283333 ","007° 17’ 05” E "
"Saint–Pierre","48.383331 ","48° 23’ 05” N ","7.466667 ","007° 28’ 18” E "
"Sarrewerden","48.916668 ","48° 55’ 25” N ","7.083333 ","007° 05’ 04” E "
"Sarre–Union","48.933334 ","48° 56’ 29” N ","7.083333 ","007° 05’ 22” E "
"Sausheim","47.783333 ","47° 47’ 15” N ","7.366667 ","007° 22’ 26” E "
"Saverne","48.733334 ","48° 44’ 32” N ","7.350000 ","007° 21’ 43” E "
